values
0
0
139
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
5594
1352
8299
1599
8511
303
75
132
125
1274
47
259
287
1316
1130
296
147
279
167
195
397
166
1332
14394
154
1465
157
40176
3359
1178
177
4411
7041
10313
736
116
173
11732
6989
22972
17185
3446
45526
71
138
315
109
117
27419
64
71
4189
256
118
6586
5203
157
139
1407
854
162
364
5015
37
6
274
17530
35
1552
2750
131
91
1564
1554
2760
50
69
1875
2812
207
9816
57
118
391
177
208
34
52
93
20
62
114
127
113
1305
108
247
243
119
1221
101
3307
9664
143
100
5503
11108
1425
1439
73
41
125
4317
1304
16773
1613
14259
4558
279
969
281
159
878
86
45
117
257
482
18
119
36
120
119
214
275
894
45
55
364
102
45
315
80
0
5195
1309
180
159
42
44
213
180
170
2672
106
295
8
1424
206
76
38
201
192
247
44
170
94
60
24
112
119
94
438
34
99
0
211
1
0
2972
1173
110
104
100
99
98
96
124
1054
26
598
137
1309
82
1500
1420
309
263
124
309
117
213
196
49
480
243
47
114
1888
25
8637
139
358
2867
273
141
99
149
42
1249
294
71
34
1826
1
89
221
0
72
56
34
49
15
108
188
53
122
84
80
147
93
84
474
119
1
1
256
522
26
339
46
188
478
103
104
198
236
95
217
8512
2
17
142
27
3273
269
3
3076
1774
1774
0
34
2
0
5
5
